mean,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
0.11013399064540863,0001,007,06,0600700010649,0649,000000000000000000d6
0.10976490853248036,0001,007,06,0600700011204,1204,000000000000000000d7
0.11066910499456425,0001,007,06,0600700010808,0808,000000000000000000d8
0.10980363190174103,0001,007,06,0600700011581,1581,000000000000000000d9
0.10985330492258072,0001,007,06,060070001009A,009A,000000000000000000da
0.11016272637998051,0001,007,06,0600700010422,0422,000000000000000000db
0.11024212076756308,0001,007,06,0600700010193,0193,000000000000000000dc
0.10994199720419821,0001,007,06,0600700010333,0333,000000000000000000dd
0.11009975636455473,0001,007,06,0600700010348,0348,000000000000000000de
0.11013399064540863,0001,007,06,0600700010390,0390,000000000000000000df
0.11013399064540863,0001,007,06,0600700010403,0403,000000000000000000e0
0.11056937281738248,0001,007,06,0600700010507,0507,000000000000000000e1
0.1096354157239853,0001,007,06,0600700010511,0511,000000000000000000e2
0.11015381945405214,0001,007,06,0600700010704,0704,000000000000000000e3
0.10970304542084246,0001,007,06,0600700010738,0738,000000000000000000e4
0.10984919642095711,0001,007,06,0600700011492,1492,000000000000000000e5
0.11013399064540863,0001,007,06,060070001087A,087A,000000000000000000e6
0.11013399064540863,0001,007,06,0600700010884,0884,000000000000000000e7
0.10983871299741133,0001,007,06,0600700010899,0899,000000000000000000e8
0.10981634788828902,0001,007,06,0600700010901,0901,000000000000000000e9
0.10963472723960876,0001,007,06,0600700010954,0954,000000000000000000ea
0.10968711484056921,0001,007,06,0600700011774,1774,000000000000000000eb
0.10980269113050502,0001,007,06,0600700011064,1064,000000000000000000ec
0.10980257559719532,0001,007,06,0600700011079,1079,000000000000000000ed
0.11004049317514839,0001,007,06,0600700011098,1098,000000000000000000ee
0.11004115643041208,0001,007,06,0600700011168,1168,000000000000000000ef
0.10982197759770063,0001,007,06,0600700011172,1172,000000000000000000f0
0.11005240414029495,0001,007,06,0600700011191,1191,000000000000000000f1
0.11043081006677608,0001,007,06,0600700011219,1219,000000000000000000f2
0.10982892397528306,0001,007,06,0600700011257,1257,000000000000000000f3
0.10981564175028102,0001,007,06,0600700011261,1261,000000000000000000f4
0.10980363190174103,0001,007,06,0600700011327,1327,000000000000000000f5
0.10983918787085958,0001,007,06,0600700011401,1401,000000000000000000f6
0.10985330492258072,0001,007,06,0600700011473,1473,000000000000000000f7
0.10985330492258072,0001,007,06,0600700011488,1488,000000000000000000f8
0.10984585910727766,0001,007,06,0600700011505,1505,000000000000000000f9
0.10982261693086146,0001,007,06,0600700011524,1524,000000000000000000fa
0.1098258426730999,0001,007,06,0600700011543,1543,000000000000000000fb
0.10980363190174103,0001,007,06,0600700011596,1596,000000000000000000fc
0.10980363190174103,0001,007,06,0600700011628,1628,000000000000000000fd
0.10985230629233202,0001,007,06,0600700011666,1666,000000000000000000fe
0.10980854654305956,0001,007,06,0600700011670,1670,000000000000000000ff
0.11023415366322058,0001,007,06,0600700011702,1702,00000000000000000100
0.10980363190174103,0001,007,06,0600700011083,1083,00000000000000000104
0.10980363190174103,0001,007,06,0600700011308,1308,00000000000000000105
0.1093757227063179,0001,007,06,060070001176A,176A,00000000000000000106
0.10980363190174103,0001,007,06,060070001144A,144A,00000000000000000107
0.10958474919783191,0001,007,06,0600700011806,1806,00000000000000000108
0.10980730104093293,0001,007,06,0600700011577,1577,00000000000000000109
0.1099152274284811,0001,007,06,0600700011365,1365,0000000000000000010a
0.10980363190174103,0001,007,06,060070001137A,137A,0000000000000000010b
0.10980363190174103,0001,007,06,0600700011685,1685,0000000000000000010c
0.10981632901389408,0001,007,06,060070001112A,112A,0000000000000000010d
0.10983325849676481,0001,007,06,0600700011187,1187,0000000000000000010e
0.10980633309811315,0001,007,06,0600700010314,0314,0000000000000000010f
0.10983033155100198,0001,007,06,0600700011115,1115,00000000000000000111
0.1102418678703022,0001,007,06,060070001016A,016A,00000000000000000112
0.11023756861686707,0001,007,06,0600700010174,0174,00000000000000000113
0.11023756861686707,0001,007,06,0600700010352,0352,00000000000000000114
0.10981143452766112,0001,007,06,0600700010329,0329,00000000000000000115
0.1102364352055275,0001,007,06,0600700010418,0418,00000000000000000116
0.11013793100506061,0001,007,06,0600700010460,0460,00000000000000000117
0.10963472723960876,0001,007,06,0600700011736,1736,00000000000000000118
0.11023756861686707,0001,007,06,0600700011007,1007,00000000000000000119
0.10984988554875022,0001,007,06,0600700010615,0615,0000000000000000011a
0.10985330492258072,0001,007,06,0600700010634,0634,0000000000000000011b
0.11031732361813143,0001,007,06,060070001048A,048A,0000000000000000011c
0.10984069660789625,0001,007,06,0600700010526,0526,0000000000000000011d
0.10980363190174103,0001,007,06,0600700011384,1384,0000000000000000011e
0.10995796029720024,0001,007,06,0600700010583,0583,0000000000000000011f
0.1101902037000164,0001,007,06,0600700010672,0672,00000000000000000120
0.11023756861686707,0001,007,06,0600700010988,0988,00000000000000000121
0.10968201471481233,0001,007,06,0600700010742,0742,00000000000000000122
0.11006536282922756,0001,007,06,0600700011454,1454,00000000000000000123
0.11062242870773462,0001,007,06,0600700010795,0795,00000000000000000124
0.11023756861686707,0001,007,06,0600700011026,1026,00000000000000000125
0.11022128642484935,0001,007,06,0600700011030,1030,00000000000000000126
0.11004062214144965,0001,007,06,0600700011045,1045,00000000000000000127
0.11004049317514839,0001,007,06,060070001105A,105A,00000000000000000128
0.10963472723960876,0001,007,06,0600700011100,1100,00000000000000000129
0.1099138694025604,0001,007,06,060070001183A,183A,0000000000000000012a
0.10982272599080113,0001,007,06,0600700011295,1295,0000000000000000012b
0.10980363190174103,0001,007,06,0600700011609,1609,0000000000000000012c
0.10958474919783191,0001,007,06,0600700011825,1825,0000000000000000012d
0.10980363190174103,0001,007,06,0600700010973,0973,0000000000000000012e
0.10980363190174103,0001,007,06,0600700011346,1346,00000000000000000130
0.10980175951920797,0001,007,06,0600700010969,0969,00000000000000000131
0.10980257559719532,0001,007,06,0600700011350,1350,00000000000000000132
0.1093757227063179,0001,007,06,0600700011755,1755,00000000000000000133
0.10958474919783191,0001,007,06,0600700011810,1810,00000000000000000134
0.10980257559719532,0001,007,06,0600700011149,1149,00000000000000000135
0.10982197759770063,0001,007,06,060070001151A,151A,00000000000000000136
0.10980561935213666,0001,007,06,0600700011793,1793,00000000000000000137
0.10958474919783191,0001,007,06,0600700011721,1721,00000000000000000138
0.10980363190174103,0001,007,06,0600700011469,1469,00000000000000000139
0.10980363190174103,0001,007,06,0600700011844,1844,0000000000000000013a
0.11014420259207383,0001,007,06,0600700010475,0475,0000000000000000013c
0.11023874833552504,0001,007,06,0600700010140,0140,0000000000000000013d
0.11024023651802625,0001,007,06,0600700010653,0653,0000000000000000013e
0.10980321925165921,0001,007,06,0600700011740,1740,0000000000000000013f
0.10981621329187606,0001,007,06,0600700011558,1558,00000000000000000140
0.10980459746468627,0001,007,06,0600700011647,1647,00000000000000000141
0.10980433750543178,0001,007,06,0600700011562,1562,00000000000000000142
0.11015862901328263,0001,007,06,0600700010761,0761,00000000000000000143
0.11005163340189403,0001,007,06,0600700011878,1878,00000000000000000144
0.10980363190174103,0001,007,06,0600700011613,1613,00000000000000000145
