nra,nombre,estado,sector,sustancia,cas,contaminante,emision,year,latitud norte,longitud oeste,municipio,localidad
SCA0600900053,"SILVA CAMACHO, S.DE P.R. DE R.L.,",COLIMA,Otros,Níquel (compuestos),Ni,agua,0.0018177000000000002,2018,"18°53'29""","103°55'12""",Tecoman,TECOMAN
SCA0600900053,"SILVA CAMACHO, S.DE P.R. DE R.L.,",COLIMA,Otros,Plomo (compuestos),Pb,agua,0.0013067,2018,"18°53'29""","103°55'12""",Tecoman,TECOMAN
TSHBB0600711,"TERMINAL DE SERVICIOS HAZESA S.A. DE C.V.,TERMINAL DE SERVICIOS HAZESA",COLIMA,Petroleo y petroquimica,Bióxido de carbono,124-38-9,agua,0.0,2018,"19°4'35""","104°17'3""",Manzanillo,MANZANILLO
TSHBB0600711,"TERMINAL DE SERVICIOS HAZESA S.A. DE C.V.,TERMINAL DE SERVICIOS HAZESA",COLIMA,Petroleo y petroquimica,Plomo (compuestos),Pb,agua,1e-06,2018,"19°4'35""","104°17'3""",Manzanillo,MANZANILLO
UME750600911,"USG MEXICO, S.A DE C.V,USG MEXICO, S.A. DE C.V. - PLANTA TECOMAN",COLIMA,Cemento y Cal,Bióxido de carbono,124-38-9,agua,0.0,2018,"18°57'46""","103°53'28""",Tecoman,TECOMAN
UME750600911,"USG MEXICO, S.A DE C.V,USG MEXICO, S.A. DE C.V. - PLANTA TECOMAN",COLIMA,Cemento y Cal,Mercurio (compuestos),Hg,agua,0.0,2018,"18°57'46""","103°53'28""",Tecoman,TECOMAN
YCS750600611,"YESERA COLIMA SA DE CV,YESERA COLIMA",COLIMA,Cemento y Cal,Bióxido de carbono,124-38-9,agua,0.0,2018,"19°4'1""","103°46'7""",Ixtlahuacan,IXTLAHUACAN
CAP730600911,"CEMENTOS APASCO, S.A. DE C.V., PLANTA TECOMAN",COLIMA,Cemento y Cal,Arsénico,7440-38-2,suelo,0.0,2018,"18°58'49""","103°52'15""",Tecoman,TECOMAN
CAP730600911,"CEMENTOS APASCO, S.A. DE C.V., PLANTA TECOMAN",COLIMA,Cemento y Cal,"Cromo (polvos respirables, humos o vapores)",7440-47-3,suelo,0.0,2018,"18°58'49""","103°52'15""",Tecoman,TECOMAN
CAP730600911,"CEMENTOS APASCO, S.A. DE C.V., PLANTA TECOMAN",COLIMA,Cemento y Cal,Dioxinas,PCDDs,suelo,0.0,2018,"18°58'49""","103°52'15""",Tecoman,TECOMAN
CAP730600911,"CEMENTOS APASCO, S.A. DE C.V., PLANTA TECOMAN",COLIMA,Cemento y Cal,Furanos,PCDFs,suelo,0.0,2018,"18°58'49""","103°52'15""",Tecoman,TECOMAN
